"","TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","PTS","PLUS_MINUS","GP_RANK","W_RANK","L_RANK","W_PCT_RANK","MIN_RANK","FGM_RANK","FGA_RANK","FG_PCT_RANK","FG3M_RANK","FG3A_RANK","FG3_PCT_RANK","FTM_RANK","FTA_RANK","FT_PCT_RANK","OREB_RANK","DREB_RANK","REB_RANK","AST_RANK","TOV_RANK","STL_RANK","BLK_RANK","BLKA_RANK","PF_RANK","PFD_RANK","PTS_RANK","PLUS_MINUS_RANK","team_season"
"28","1610612738","Boston Celtics","8","5","3","0.625","39.35","29","62","0.468","6","21","0.286","37","50","0.74","10","26","36","18","7","6","2","4","17","32","101","14","2","2","10","4","2","1","2","7","2","2","8","1","1","10","1","2","2","1","14","1","3","16","14","1","1","2","2017-18"
"29","1610612738","Boston Celtics","9","5","4","0.556","32.7416666666667","24","55","0.436","3","13","0.231","33","43","0.767","13","23","36","14","8","5","2","5","19","0","84","17","4","4","12","5","4","4","4","4","5","4","10","3","3","10","3","4","4","4","12","3","5","14","12","1","4","2","2001-02"
"30","1610612739","Cleveland Cavaliers","10","6","4","0.6","45.2666666666667","27","59","0.458","3","12","0.25","39","47","0.83","8","30","38","11","14","9","3","4","38","31","96","0","4","3","10","2","4","5","5","7","7","6","11","2","4","3","5","3","4","4","14","2","4","14","15","4","5","7","2005-06"
"31","1610612739","Cleveland Cavaliers","10","7","3","0.7","41.4233333333333","27","70","0.386","11","34","0.324","25","35","0.714","10","29","39","12","7","4","5","3","18","23","90","21","1","1","10","3","1","2","1","11","1","1","6","2","2","11","1","1","1","2","14","2","1","14","15","2","2","1","2017-18"
"32","1610612739","Cleveland Cavaliers","13","8","5","0.615","47.625","24","77","0.312","10","28","0.357","30","35","0.857","12","34","46","14","12","7","7","5","21","24","88","2","1","1","15","4","2","2","2","13","1","2","5","1","2","4","3","1","3","4","15","1","1","14","16","1","2","7","2014-15"
"33","1610612739","Cleveland Cavaliers","13","9","4","0.692","59.15","45","93","0.484","9","23","0.391","41","54","0.759","15","35","50","22","11","15","11","8","40","34","140","47","1","1","13","3","1","1","1","4","1","1","2","2","2","10","1","1","1","1","13","1","1","16","16","2","1","1","2006-07"
"34","1610612739","Cleveland Cavaliers","5","3","2","0.6","13.5466666666667","10","24","0.417","4","9","0.444","9","12","0.75","5","10","15","4","4","1","3","0","12","8","33","8","5","4","4","5","7","6","6","6","2","5","5","10","9","10","4","5","5","7","10","8","3","1","12","9","6","5","2009-10"
"35","1610612739","Cleveland Cavaliers","6","3","3","0.5","23.8033333333333","21","41","0.512","10","19","0.526","13","15","0.867","6","11","17","11","8","4","2","3","14","14","65","8","5","4","10","6","6","5","5","4","2","5","2","7","8","3","6","7","6","5","11","6","5","11","10","5","5","3","2008-09"
"36","1610612739","Cleveland Cavaliers","7","5","2","0.714","26.7216666666667","14","44","0.318","6","21","0.286","18","26","0.692","10","17","27","8","7","6","1","4","8","15","52","8","1","1","5","4","2","7","2","14","4","2","10","3","1","11","2","1","1","6","13","2","5","15","7","2","5","5","2016-17"
"37","1610612739","Cleveland Cavaliers","8","4","4","0.5","27.68","13","46","0.283","5","14","0.357","20","28","0.714","8","19","27","7","5","3","3","1","16","18","51","5","3","4","13","6","5","7","5","13","2","3","6","4","4","14","5","5","4","5","10","4","4","6","11","6","7","5","2007-08"
"38","1610612739","Cleveland Cavaliers","8","7","1","0.875","29.4583333333333","19","53","0.358","9","25","0.36","7","10","0.7","11","19","30","10","8","1","4","4","11","9","54","18","4","1","2","2","5","4","4","11","2","2","5","9","9","9","2","6","5","2","13","11","4","12","10","8","5","2","2015-16"
"39","1610612740","New Orleans Hornets","1","1","0","1","1.38333333333333","0","2","0","0","2","0","1","2","0.5","0","1","1","0","2","0","0","0","2","1","1","-3","13","11","1","1","14","13","13","13","12","12","12","12","12","12","12","13","13","13","4","13","8","1","4","12","13","9","2008-09"
"40","1610612740","New Orleans Hornets","2","1","1","0.5","2.375","0","4","0","0","1","0","3","3","1","1","2","3","0","0","0","0","0","3","1","3","-4","12","9","3","6","15","15","15","15","13","15","13","14","14","1","12","15","15","14","1","13","13","1","3","14","15","11","2007-08"
"41","1610612740","New Orleans Hornets","2","2","0","1","7.01666666666667","4","9","0.444","0","2","0","12","14","0.857","0","5","5","2","1","2","0","1","6","7","20","10","15","7","1","1","16","16","16","4","15","16","15","10","10","4","16","14","16","12","1","7","13","2","1","13","13","3","2010-11"
"42","1610612740","New Orleans Hornets","5","1","4","0.2","13.3466666666667","8","24","0.333","1","5","0.2","6","9","0.667","6","5","11","1","2","3","0","1","6","0","23","-13","6","10","12","15","13","13","12","11","14","14","14","15","13","14","6","13","13","14","3","10","15","4","2","1","14","15","2002-03"
"43","1610612740","New Orleans Hornets","6","3","3","0.5","16.175","10","34","0.294","1","15","0.067","10","11","0.909","10","8","18","7","4","2","2","3","8","0","31","6","7","6","8","8","8","6","6","12","8","4","12","7","9","2","2","10","8","5","6","7","7","9","6","1","7","4","2003-04"
"44","1610612740","New Orleans Pelicans","3","0","3","0","7.93166666666667","3","11","0.273","1","6","0.167","6","8","0.75","0","4","4","1","2","0","1","0","10","7","13","-16","12","13","9","13","13","14","14","14","13","12","14","11","10","11","14","14","14","14","6","14","9","1","10","9","14","15","2014-15"
"45","1610612740","New Orleans Pelicans","3","1","2","0.333","10.13","9","15","0.6","3","6","0.5","3","3","1","0","1","1","6","3","2","0","1","8","3","24","-7","11","11","5","12","12","10","11","2","7","9","1","12","14","1","14","16","16","8","9","4","13","5","6","13","11","12","2021-22"
"46","1610612740","New Orleans Pelicans","4","3","1","0.75","11.1116666666667","11","23","0.478","6","11","0.545","8","12","0.667","6","5","11","6","2","2","1","1","3","10","36","12","7","5","2","2","10","6","8","4","2","6","2","8","5","13","5","12","9","7","6","4","7","4","4","3","6","3","2017-18"
"47","1610612741","Chicago Bulls","1","1","0","1","3.57333333333333","2","4","0.5","1","1","1","5","5","1","0","3","3","1","3","1","1","0","2","5","10","6","15","10","1","1","15","15","15","5","12","15","1","12","12","1","14","15","15","14","5","11","5","1","1","12","15","7","2016-17"
"48","1610612741","Chicago Bulls","2","1","1","0.5","6.32","5","15","0.333","1","5","0.2","0","0","0","3","3","6","3","1","2","1","1","7","2","11","-3","14","11","2","7","16","13","11","14","11","13","11","16","16","16","6","15","13","13","1","4","8","5","5","16","15","10","2021-22"
